PID;Year Built;Lot Frontage;Lot Area;Street;Alley;Lot Shape;Land Contour;Utilities;Lot Config;Land Slope;Neighborhood;Condition 1;Condition 2;Bldg Type;House Style;Overall Qual;Overall Cond;Year Remod/Add;1st Flr SF;2nd Flr SF;3Ssn Porch;Central Air;Enclosed Porch;Exter Cond;Exter Qual;Exterior 1st;Exterior 2nd;Fireplace Qu;Gr Liv Area;Heating QC;Kitchen AbvGr;Kitchen Qual;Low Qual Fin SF;MS SubClass;MS Zoning;Mas Vnr Area;Mas Vnr Type;Open Porch SF;Paved Drive;Roof Matl;Roof Style;Screen Porch;TotRms AbvGrd;Wood Deck SF;electrical;fence;fireplaces;foundation;functional;heating;Sale_Date;Sale Type;Sale Condition;saleprice;saleDate;Mo_Sold;Yr_Sold;Bsmt Full Bath;Bsmt Half Bath;Bedroom;Bsmt Unf SF;Bsmt Cond;Bsmt Half Bath_1;BsmtFin Type 1;BsmtFin Type 2;Total Bsmt SF;Bsmt Exposure;Bsmt Full Bath_1;Bsmt Qual;BsmtFin SF 2;BsmtFin SF 1;Garage Cond;Garage Type;Garage Yr Blt;Garage Cars;Garage Qual;Garage Finish;Garage Area;Misc Feature;Misc Val;Pool QC;Pool Area
526301100;1960;141;31770;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Corner ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;6;5;1960;1656;0;0;Y;0;3;3;BrkFace;Plywood;Gd;1656;4;1;3;0;20;6;112;Stone  ;62;P;CompShg;Hip    ;0;7;210;SBrkr;NA   ;2;CBlock;Typ ;GasA ;1,27459E+12;WD   ;Normal ;215000;2010/05/23 00:00:00.000;5;2010;1;0;3;441;Gd;0;BLQ;Unf;1080;Gd;1;TA;0;639;TA;Attchd;1960;2;TA;Fin;528;;;;
526302030;1954;               ;11027;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;6;5;1954;1293;0;0;Y;0;3;3;Wd Sdng;Wd Sdng;NA;1293;2;1;3;0;20;6;28;Stone  ;0;Y;CompShg;Hip    ;0;5;280;SBrkr;NA   ;0;CBlock;Typ ;GasA ;1,14819E+12;WD   ;Normal ;149900;2006/05/21 00:00:00.000;5;2006;2;0;2;171;TA;0;BLQ;Rec;1178;No;1;TA;539;468;TA;Attchd;1954;2;TA;RFn;452;;;;
526302040;1956;85;10533;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;6;6;1956;1024;0;0;Y;0;2;3;VinylSd;VinylSd;TA;1024;3;1;2;0;20;6;244;BrkFace;0;Y;CompShg;Hip    ;280;5;0;SBrkr;NA   ;2;CBlock;Typ ;GasA ;1,1564E+12;WD   ;Normal ;157500;2006/08/24 00:00:00.000;8;2006;1;0;2;235;TA;0;Rec;Unf;1008;No;1;TA;0;773;TA;Attchd;1956;1;TA;Unf;313;;;;
526302110;1956;74;13008;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;6;5;1956;882;0;0;Y;0;3;3;MetalSd;MetalSd;NA;882;3;1;3;0;20;6;0;None   ;0;Y;CompShg;Gable  ;0;5;0;SBrkr;NA   ;0;CBlock;Typ ;GasA ;1,25645E+12;WD   ;Normal ;124500;2009/10/25 00:00:00.000;10;2009;1;0;2;318;Fa;0;Rec;Unf;882;No;0;Fa;0;564;TA;Attchd;1956;1;TA;Unf;502;;;;
526302120;1957;               ;11765;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Corner ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;5;5;1957;1797;0;0;Y;0;3;3;Wd Sdng;Wd Sdng;TA;1797;4;1;3;0;20;6;302;Stone  ;0;Y;CompShg;Gable  ;0;7;0;SBrkr;NA   ;1;CBlock;Typ ;GasA ;1,15052E+12;WD   ;Normal ;169000;2006/06/17 00:00:00.000;6;2006;1;1;3;490;TA;0;Rec;Unf;1617;Mn;0;TA;0;1127;TA;Attchd;1957;3;TA;Unf;963;;;;
526303060;1957;               ;39384;Pave;NA  ;Slightly irregular  ;Low;AllPub;CulDSac;Sev;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;6;6;1957;1390;0;0;Y;0;3;3;Wd Sdng;Wd Sdng;Gd;1390;1;1;1;0;20;6;902;Stone  ;189;Y;CompShg;Gable  ;0;4;0;SBrkr;NA   ;2;CBlock;Min1;GasA ;1,16184E+12;WD   ;Abnorml;252000;2006/10/26 00:00:00.000;10;2006;1;1;1;595;TA;0;ALQ;Unf;1705;Gd;1;Gd;0;1110;TA;Attchd;1957;2;TA;Unf;550;;;;
526350040;1961;80;11622;Pave;NA  ;Regular             ;Lvl;AllPub;Inside ;Gtl;North Ames         ;Adjacent to feeder street     ;Normal;1Fam  ;1Story;5;6;1961;896;0;0;Y;0;3;3;VinylSd;VinylSd;NA;896;3;1;3;0;20;5;0;None   ;0;Y;CompShg;Gable  ;120;5;140;SBrkr;MnPrv;0;CBlock;Typ ;GasA ;1,27615E+12;WD   ;Normal ;105000;2010/06/10 00:00:00.000;6;2010;1;0;2;270;TA;0;Rec;LwQ;882;No;0;TA;144;468;TA;Attchd;1961;1;TA;Unf;730;;;;
526351010;1958;81;14267;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Corner ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;6;6;1958;1329;0;0;Y;0;3;3;Wd Sdng;Wd Sdng;NA;1329;3;1;2;0;20;6;108;BrkFace;36;Y;CompShg;Hip    ;0;6;393;SBrkr;NA   ;0;CBlock;Typ ;GasA ;1,27692E+12;WD   ;Normal ;172000;2010/06/19 00:00:00.000;6;2010;1;1;3;406;TA;0;ALQ;Unf;1329;No;0;TA;0;923;TA;Attchd;1958;1;TA;Unf;312;;;;
526351030;1958;87;11029;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Corner ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;6;8;2002;1414;0;0;Y;0;3;1;MetalSd;MetalSd;TA;1414;1;1;3;0;20;6;0;None   ;51;Y;CompShg;Hip    ;190;6;0;SBrkr;NA   ;1;CBlock;Min1;GasA ;1,21135E+12;WD   ;Normal ;176500;2008/05/21 00:00:00.000;5;2008;1;0;3;245;TA;0;ALQ;BLQ;1184;No;1;Gd;411;528;TA;Attchd;1990;2;TA;Unf;601;;;;
526351100;1974;85;10200;Pave;NA  ;Regular             ;Lvl;AllPub;Inside ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;6;5;1974;1434;0;0;Y;0;3;3;Plywood;Plywood;Gd;1434;3;1;3;0;20;6;440;BrkFace;21;Y;CompShg;Hip    ;0;7;80;SBrkr;NA   ;1;CBlock;Typ ;GasA ;1,24504E+12;WD   ;Normal ;157000;2009/06/15 00:00:00.000;6;2009;2;0;4;590;TA;0;LwQ;Unf;1434;No;1;TA;0;844;TA;Attchd;1974;2;TA;RFn;528;;;;
